DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Hydro Pumped Storage	427.48	2541.85	2022-01-01 03:31:49
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Wind Onshore	494.0	0.0	2022-01-02 00:04:07
2022-01-01 02:15:00.000	PT15M	10YDE-ENBW-----N	CTA	DE(TransnetBW) CTA	DE_TransnetBW	Solar	0.0	0.0	2022-01-01 03:32:27
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	Fossil Brown coal/Lignite	812.87		2022-01-01 03:45:46
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	Wind Onshore	1.41		2022-01-01 03:45:46
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	Hydro Water Reservoir	453.92		2022-01-01 03:45:46
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	Hydro Run-of-river and poundage	135.52		2022-01-01 03:45:46
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTA	BA CTA	BA	Hydro Pumped Storage	0.0		2022-01-01 03:45:46
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTY	BA CTY	BA	Hydro Run-of-river and poundage	135.52		2022-01-01 03:45:47
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTY	BA CTY	BA	Hydro Water Reservoir	453.92		2022-01-01 03:45:47
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	BZN	BA BZN	BA	Hydro Water Reservoir	453.92		2022-01-01 03:45:47
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTY	BA CTY	BA	Hydro Pumped Storage	0.0		2022-01-01 03:45:47
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	BZN	BA BZN	BA	Hydro Run-of-river and poundage	135.52		2022-01-01 03:45:47
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	BZN	BA BZN	BA	Hydro Pumped Storage	0.0		2022-01-01 03:45:47
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	BZN	BA BZN	BA	Fossil Brown coal/Lignite	812.87		2022-01-01 03:45:47
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	BZN	BA BZN	BA	Wind Onshore	1.41		2022-01-01 03:45:47
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTY	BA CTY	BA	Wind Onshore	1.41		2022-01-01 03:45:47
2022-01-01 01:00:00.000	PT60M	10YBA-JPCC-----D	CTY	BA CTY	BA	Fossil Brown coal/Lignite	812.87		2022-01-01 03:45:47
2022-01-01 01:30:00.000	PT15M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	Hydro Run-of-river and poundage	195.49		2022-01-01 03:45:48
2022-01-01 01:30:00.000	PT15M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	Fossil Oil	0.0		2022-01-01 03:45:49
2022-01-01 01:30:00.000	PT15M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	Biomass	941.3		2022-01-01 03:45:50
2022-01-01 01:30:00.000	PT15M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	Other renewable	81.4		2022-01-01 03:45:52
2022-01-01 01:30:00.000	PT15M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	Hydro Water Reservoir	9.4		2022-01-01 03:45:53
2022-01-01 01:30:00.000	PT15M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	Waste	72.49		2022-01-01 03:45:54
2022-01-01 01:30:00.000	PT15M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	Geothermal	4.46		2022-01-01 03:45:56
2022-01-01 01:30:00.000	PT15M	10YDE-RWENET---I	CTA	DE(Amprion) CTA	DE_Amprion	Other	179.28		2022-01-01 03:45:56
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Hydro Water Reservoir	34.14		2022-01-01 03:45:57
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Geothermal	23.46		2022-01-01 03:45:58
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Waste	840.9		2022-01-01 03:46:01
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Other renewable	126.16		2022-01-01 03:46:02
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Other	363.28		2022-01-01 03:46:03
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Oil	279.14		2022-01-01 03:46:04
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Biomass	4282.58		2022-01-01 03:46:05
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Hydro Run-of-river and poundage	1422.39		2022-01-01 03:46:06
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Geothermal	23.46		2022-01-01 03:46:06
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Hydro Water Reservoir	34.14		2022-01-01 03:46:07
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Waste	840.9		2022-01-01 03:46:08
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Other renewable	126.16		2022-01-01 03:46:08
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Fossil Oil	279.14		2022-01-01 03:46:09
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Hydro Run-of-river and poundage	1422.39		2022-01-01 03:46:09
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Other	363.28		2022-01-01 03:46:10
2022-01-01 01:30:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Biomass	4282.58		2022-01-01 03:46:10
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Hydro Pumped Storage	0.0	981.97	2022-01-01 03:46:19
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Wind Offshore	4529.07		2022-01-01 03:46:20
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Wind Onshore	9039.38		2022-01-01 03:46:21
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Solar	0.0		2022-01-01 03:46:22
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Other	20.0		2022-01-01 03:46:24
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Nuclear	1404.02		2022-01-01 03:46:25
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Hydro Water Reservoir	14.87		2022-01-01 03:46:25
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Fossil Hard coal	426.06		2022-01-01 03:46:27
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Fossil Oil	0.13		2022-01-01 03:46:27
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Fossil Gas	641.01		2022-01-01 03:46:29
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Geothermal	19.0		2022-01-01 03:46:29
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Waste	299.48		2022-01-01 03:46:30
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Fossil Brown coal/Lignite	10.69		2022-01-01 03:46:31
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Other renewable	9.71		2022-01-01 03:46:31
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Hydro Pumped Storage	241.67	2591.32	2022-01-01 03:46:32
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Wind Onshore	22662.4	0.0	2022-01-02 00:03:46
2022-01-01 02:00:00.000	PT15M	10YDE-EON------1	CTA	DE(TenneT DE) CTA	DE_TenneT_GER	Hydro Run-of-river and poundage	651.42		2022-01-01 03:46:34
2022-01-01 02:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Wind Offshore	5307.03		2022-01-01 03:46:35
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Solar	0.0	0.0	2022-01-01 03:46:36
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Brown coal/Lignite	3470.86		2022-01-01 03:46:38
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Nuclear	3337.38		2022-01-01 03:46:40
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Hard coal	2028.2		2022-01-01 03:46:44
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Gas	2627.65		2022-01-01 03:46:45
2022-01-01 02:00:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Wind Offshore	5307.03		2022-01-01 03:46:47
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Hydro Pumped Storage	241.67	2591.32	2022-01-01 03:46:48
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Solar	0.0	0.0	2022-01-01 03:46:49
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Wind Onshore	22662.4	0.0	2022-01-02 00:03:48
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Fossil Brown coal/Lignite	3470.86		2022-01-01 03:46:50
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Nuclear	3337.38		2022-01-01 03:46:51
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Fossil Gas	2627.65		2022-01-01 03:46:52
2022-01-01 01:45:00.000	PT15M	10Y1001A1001A82H	BZN	DE-LU BZN	DE_LU	Fossil Hard coal	2028.2		2022-01-01 03:46:53
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	CTA	ME CTA	ME	Fossil Brown coal/Lignite	206.86		2022-01-01 04:33:26
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	CTA	ME CTA	ME	Other renewable	0.0		2022-01-01 03:47:06
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	CTA	ME CTA	ME	Hydro Water Reservoir	182.47		2022-01-01 04:33:28
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	CTA	ME CTA	ME	Wind Onshore	12.09		2022-01-01 04:33:28
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	CTY	ME CTY	ME	Hydro Water Reservoir	182.47		2022-01-01 04:33:38
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	Hydro Water Reservoir	182.47		2022-01-01 04:33:38
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	Other renewable	0.0		2022-01-01 03:47:06
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	CTY	ME CTY	ME	Fossil Brown coal/Lignite	206.86		2022-01-01 04:33:36
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	CTY	ME CTY	ME	Other renewable	0.0		2022-01-01 03:47:07
2022-01-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	Fossil Brown coal/Lignite	206.86		2022-01-01 04:33:38
